CountyName,LocationID,TotalPopulation,Checkups,Depression,Disability,Food_Insecurity,Food_Stamps,Housing_Insecure,Insurance_Gap,Loneliness,Transport_Barriers,Utility_Threat,Low_Checkups,Healthcare_Desert_Score,Score_EqualWeights,Risk_Tier
Accomack,51001090101,1799,83.3,22.2,32.6,8.4,7.1,6.8,6.2,29.5,5.2,4.6,16.700000000000003,10.92,10.56,LOW
Accomack,51001090102,1545,83.0,23.0,37.8,12.1,11.8,8.7,7.8,30.2,6.9,6.3,17.0,12.69,12.6,LOW
Accomack,51001090201,3990,82.9,21.3,31.1,10.2,8.4,8.8,6.7,31.3,6.0,5.8,17.099999999999994,12.0,11.79,LOW
Accomack,51001090202,3046,81.2,23.4,43.2,26.9,27.8,19.7,13.1,36.4,13.6,14.2,18.799999999999997,20.26,21.31,HIGH
Accomack,51001090300,2093,79.6,24.0,42.1,23.0,22.4,16.8,14.1,35.6,11.7,11.4,20.400000000000006,19.26,19.42,HIGH
Accomack,51001090401,2455,79.0,21.3,36.7,22.7,19.7,18.1,15.5,37.3,11.3,11.1,21.0,19.83,19.59,HIGH
Accomack,51001090402,3281,80.2,22.5,48.9,36.2,37.3,25.3,21.4,38.2,17.8,18.0,19.799999999999997,25.78,26.75,CRITICAL
Accomack,51001090500,2721,80.3,22.8,40.2,24.4,23.5,18.2,14.4,36.0,12.3,12.3,19.700000000000003,19.76,20.1,HIGH
Accomack,51001090600,3900,83.6,21.9,38.7,15.0,14.2,11.0,9.3,32.2,8.1,7.6,16.400000000000006,14.13,14.22,LOW
Accomack,51001090700,5220,83.2,21.3,36.3,16.3,15.0,13.0,9.1,33.3,8.7,8.9,16.799999999999997,14.86,15.14,LOW
Accomack,51001090800,3362,82.2,22.0,41.3,23.7,23.7,17.7,12.7,35.2,12.0,12.5,17.799999999999997,18.7,19.41,MODERATE
Albemarle,51003010100,5147,81.6,21.2,28.0,7.0,5.6,6.0,5.5,29.2,4.5,4.0,18.400000000000006,10.58,10.02,LOW
Albemarle,51003010201,5550,80.1,21.4,26.1,7.9,6.0,7.3,5.8,30.9,5.0,4.7,19.900000000000006,11.52,10.94,LOW
Albemarle,51003010202,3238,82.9,20.1,25.7,5.1,3.6,4.7,4.4,27.9,3.5,3.1,17.099999999999994,9.25,8.67,LOW
Albemarle,51003010301,1939,78.2,20.1,26.2,8.9,6.3,8.3,7.3,32.7,5.4,5.1,21.799999999999997,12.79,11.98,LOW
Albemarle,51003010302,1450,80.3,19.8,22.2,5.7,3.6,5.3,4.7,30.0,3.7,3.3,19.700000000000003,10.25,9.5,LOW
Albemarle,51003010303,5685,79.7,21.0,25.0,7.4,5.2,7.0,5.7,31.3,4.7,4.3,20.299999999999997,11.42,10.74,LOW
Albemarle,51003010401,4201,81.7,20.7,28.6,7.8,5.9,6.8,5.9,30.4,4.8,4.3,18.299999999999997,11.05,10.52,LOW
Albemarle,51003010402,3605,83.6,19.3,25.7,5.0,3.5,4.7,4.4,27.8,3.4,3.1,16.400000000000006,9.08,8.54,LOW
Albemarle,51003010501,3004,81.2,20.0,23.7,5.4,3.7,5.1,4.6,29.5,3.6,3.2,18.799999999999997,9.92,9.24,LOW
Albemarle,51003010502,3371,82.4,18.4,27.4,5.4,3.7,5.3,5.5,30.1,3.8,3.3,17.599999999999994,10.01,9.34,LOW
Albemarle,51003010602,4409,80.7,20.9,24.1,6.2,4.6,6.2,4.8,30.0,4.3,4.1,19.299999999999997,10.51,9.94,LOW
Albemarle,51003010603,2391,81.0,19.2,33.9,9.8,7.1,8.2,9.4,34.1,5.9,4.8,19.0,13.08,12.29,LOW
Albemarle,51003010604,4029,81.3,19.8,25.0,6.9,5.0,6.6,5.1,30.2,4.5,4.4,18.700000000000003,10.69,10.18,LOW
Albemarle,51003010701,2862,77.8,21.1,29.1,14.0,11.3,12.3,9.2,35.4,8.1,7.9,22.200000000000003,15.46,15.05,LOW
Albemarle,51003010702,3763,78.0,20.9,30.3,13.3,10.1,11.6,10.4,35.4,7.3,6.9,22.0,15.36,14.62,LOW
Albemarle,51003010801,3598,78.7,20.6,31.4,11.3,8.4,9.8,9.6,34.9,6.7,5.8,21.299999999999997,14.27,13.48,LOW
Albemarle,51003010802,2404,77.8,22.8,32.0,15.3,13.0,12.8,10.9,34.6,8.6,8.3,22.200000000000003,16.21,15.71,MODERATE
Albemarle,51003010901,1746,71.4,22.9,30.0,15.9,12.1,11.5,9.5,39.7,9.9,7.3,28.599999999999994,17.59,16.81,MODERATE
Albemarle,51003010904,6163,69.7,22.4,27.7,17.0,9.0,11.0,8.6,49.2,11.2,5.8,30.299999999999997,18.64,17.76,MODERATE
Albemarle,51003011000,6612,82.8,19.4,23.2,4.2,2.9,4.1,3.7,27.3,3.1,2.7,17.200000000000003,8.75,8.15,LOW
Albemarle,51003011101,2884,80.4,22.7,28.8,8.8,7.6,7.6,5.8,30.1,5.5,5.5,19.599999999999994,11.71,11.31,LOW
Albemarle,51003011102,3286,79.5,21.3,21.6,5.6,4.0,5.6,4.5,29.1,3.9,3.7,20.5,10.34,9.61,LOW
Albemarle,51003011103,4608,81.9,20.4,25.6,5.5,4.1,5.2,4.4,28.6,3.7,3.5,18.099999999999994,9.71,9.14,LOW
Albemarle,51003011201,4208,80.6,22.3,29.6,8.9,7.4,7.6,6.3,30.2,5.5,5.2,19.400000000000006,11.79,11.31,LOW
Albemarle,51003011202,4043,81.2,20.2,25.0,6.6,4.9,6.0,5.2,29.2,4.2,3.9,18.799999999999997,10.47,9.85,LOW
Albemarle,51003011301,5127,79.6,22.0,27.1,7.6,5.7,7.2,6.1,31.4,4.8,4.5,20.400000000000006,11.64,10.96,LOW
Albemarle,51003011302,5151,72.3,23.3,27.4,16.3,12.6,13.5,11.4,38.2,9.5,8.3,27.700000000000003,18.08,17.19,MODERATE
Albemarle,51003011303,3791,76.8,22.5,24.0,8.3,6.2,8.0,6.3,32.8,5.4,5.0,23.200000000000003,12.69,11.9,LOW
Albemarle,51003011400,4130,80.2,22.1,31.7,11.2,9.2,9.5,7.7,32.9,6.4,6.1,19.799999999999997,13.27,12.85,LOW
Alexandria,51510200102,5043,74.6,20.2,29.3,19.3,14.1,16.1,15.8,36.6,9.9,9.3,25.400000000000006,19.48,18.31,HIGH
Alexandria,51510200104,4095,72.6,23.1,31.4,24.7,20.3,20.8,17.1,39.4,13.1,12.8,27.400000000000006,22.6,21.95,CRITICAL
Alexandria,51510200105,4065,76.8,20.8,29.3,20.4,17.5,17.8,10.4,38.5,11.0,11.7,23.200000000000003,18.63,18.81,MODERATE
Alexandria,51510200106,3392,80.3,19.0,32.8,12.3,9.1,10.2,11.3,33.8,6.8,6.1,19.700000000000003,14.52,13.66,LOW
