CountyName,LocationID,TotalPopulation,Short_Question_Text,Data_Value,Measure_Name
Chesterfield,51041101009,8778,Annual Checkup,77.3,Checkups
Bedford,51019030103,7788,Annual Checkup,79.1,Checkups
Fairfax,51059416200,5201,Annual Checkup,71.3,Checkups
Accomack,51001090600,3900,Annual Checkup,83.6,Checkups
Fairfax,51059420300,6184,Annual Checkup,77.2,Checkups
Amherst,51009010505,1045,Annual Checkup,77.8,Checkups
Albemarle,51003010202,3238,Annual Checkup,82.9,Checkups
Chesterfield,51041100208,2616,Annual Checkup,82.5,Checkups
Amelia,51007930200,6156,Annual Checkup,80.5,Checkups
Arlington,51013102701,3579,Annual Checkup,74.9,Checkups
Carroll,51035080401,2797,Annual Checkup,80.4,Checkups
Botetourt,51023040502,1305,Annual Checkup,80.5,Checkups
Chesterfield,51041101008,5749,Annual Checkup,79.4,Checkups
Brunswick,51025930202,1595,Annual Checkup,72.6,Checkups
Arlington,51013102301,1734,Annual Checkup,77.7,Checkups
Buchanan,51027010400,2032,Annual Checkup,80.5,Checkups
Chesterfield,51041100919,6942,Annual Checkup,77.6,Checkups
Arlington,51013102901,2904,Annual Checkup,76.8,Checkups
Buckingham,51029930202,4580,Annual Checkup,80.7,Checkups
Campbell,51031020300,3938,Annual Checkup,80.8,Checkups
Chesterfield,51041100508,5083,Annual Checkup,79.0,Checkups
Fairfax,51059415500,6306,Annual Checkup,80.8,Checkups
Chesterfield,51041100509,7164,Annual Checkup,80.1,Checkups
Arlington,51013103800,4964,Annual Checkup,73.8,Checkups
Arlington,51013100500,5029,Annual Checkup,78.1,Checkups
Fairfax,51059420501,980,Annual Checkup,84.1,Checkups
Arlington,51013101601,1362,Annual Checkup,74.7,Checkups
Arlington,51013100300,6199,Annual Checkup,80.8,Checkups
Culpeper,51047930104,3207,Annual Checkup,79.4,Checkups
Bedford,51019030203,4724,Annual Checkup,79.0,Checkups
Campbell,51031020403,6119,Annual Checkup,79.1,Checkups
Chesterfield,51041100923,2786,Annual Checkup,80.3,Checkups
Bedford,51019030603,2690,Annual Checkup,78.9,Checkups
Bedford,51019030403,3347,Annual Checkup,79.6,Checkups
Dinwiddie,51053840500,3949,Annual Checkup,80.0,Checkups
Augusta,51015070601,2724,Annual Checkup,83.2,Checkups
Chesterfield,51041100702,2118,Annual Checkup,80.5,Checkups
Fairfax,51059420600,4911,Annual Checkup,74.2,Checkups
Chesterfield,51041101012,5575,Annual Checkup,76.5,Checkups
Chesterfield,51041100935,4025,Annual Checkup,82.3,Checkups
Fairfax,51059421200,2024,Annual Checkup,79.5,Checkups
Campbell,51031020800,3321,Annual Checkup,80.9,Checkups
Albemarle,51003010904,6163,Annual Checkup,69.7,Checkups
Appomattox,51011040102,3524,Annual Checkup,80.0,Checkups
Chesterfield,51041100506,6951,Annual Checkup,77.0,Checkups
Arlington,51013103100,6207,Annual Checkup,76.4,Checkups
Arlington,51013103000,3390,Annual Checkup,77.8,Checkups
Arlington,51013102002,1243,Annual Checkup,72.7,Checkups
Chesterfield,51041100807,2334,Annual Checkup,79.0,Checkups
Caroline,51033030202,1812,Annual Checkup,80.7,Checkups
Albemarle,51003011103,4608,Annual Checkup,81.9,Checkups
Arlington,51013100800,1596,Annual Checkup,77.9,Checkups
Culpeper,51047930103,5342,Annual Checkup,79.7,Checkups
Augusta,51015070200,3788,Annual Checkup,79.2,Checkups
Charlotte,51037930300,3131,Annual Checkup,82.1,Checkups
Chesterfield,51041100933,2473,Annual Checkup,76.1,Checkups
Augusta,51015071102,6333,Annual Checkup,79.9,Checkups
Arlington,51013102804,5339,Annual Checkup,75.6,Checkups
Campbell,51031020500,7065,Annual Checkup,80.1,Checkups
Chesterfield,51041101007,6395,Annual Checkup,81.0,Checkups
Fairfax,51059421001,2855,Annual Checkup,77.7,Checkups
Chesterfield,51041100818,4127,Annual Checkup,80.1,Checkups
Amherst,51009010300,3638,Annual Checkup,80.6,Checkups
Bedford,51019030101,7719,Annual Checkup,79.7,Checkups
Albemarle,51003010501,3004,Annual Checkup,81.2,Checkups
Augusta,51015071201,2110,Annual Checkup,80.8,Checkups
Albemarle,51003011303,3791,Annual Checkup,76.8,Checkups
Chesterfield,51041100407,4100,Annual Checkup,76.8,Checkups
Botetourt,51023040100,3343,Annual Checkup,80.6,Checkups
Campbell,51031020101,5718,Annual Checkup,79.9,Checkups
Chesterfield,51041100806,4199,Annual Checkup,75.6,Checkups
Chesterfield,51041100212,4585,Annual Checkup,76.7,Checkups
Appomattox,51011040200,4535,Annual Checkup,80.3,Checkups
Buchanan,51027010500,1184,Annual Checkup,80.2,Checkups
Culpeper,51047930501,5742,Annual Checkup,77.8,Checkups
Chesterfield,51041100403,7006,Annual Checkup,78.9,Checkups
Fairfax,51059415900,3216,Annual Checkup,80.2,Checkups
Arlington,51013101801,3399,Annual Checkup,72.5,Checkups
Arlington,51013100400,3780,Annual Checkup,81.4,Checkups
Arlington,51013101200,3897,Annual Checkup,78.9,Checkups
Dickenson,51051040300,4851,Annual Checkup,79.3,Checkups
Chesterfield,51041101003,11552,Annual Checkup,78.1,Checkups
Amherst,51009010202,2223,Annual Checkup,80.0,Checkups
Arlington,51013100900,4406,Annual Checkup,78.5,Checkups
Buckingham,51029930101,3791,Annual Checkup,80.7,Checkups
Chesterfield,51041100820,3709,Annual Checkup,78.9,Checkups
Arlington,51013101503,1793,Annual Checkup,77.7,Checkups
Chesterfield,51041100505,5780,Annual Checkup,79.3,Checkups
Accomack,51001090300,2093,Annual Checkup,79.6,Checkups
Accomack,51001090101,1799,Annual Checkup,83.3,Checkups
Arlington,51013102302,4668,Annual Checkup,75.4,Checkups
Buchanan,51027010100,4401,Annual Checkup,80.1,Checkups
Bedford,51019050101,2932,Annual Checkup,78.5,Checkups
Culpeper,51047930101,4385,Annual Checkup,78.3,Checkups
Albemarle,51003011400,4130,Annual Checkup,80.2,Checkups
Culpeper,51047930300,7819,Annual Checkup,76.9,Checkups
Dickenson,51051040200,2633,Annual Checkup,80.1,Checkups
Arlington,51013101805,3760,Annual Checkup,72.2,Checkups
Augusta,51015071101,4817,Annual Checkup,79.3,Checkups
Albemarle,51003011201,4208,Annual Checkup,80.6,Checkups
Arlington,51013102500,5291,Annual Checkup,75.2,Checkups
Arlington,51013103505,3813,Annual Checkup,75.8,Checkups
Chesterfield,51041100805,5369,Annual Checkup,79.0,Checkups
Bedford,51019030401,2925,Annual Checkup,81.3,Checkups
Bedford,51019030404,3480,Annual Checkup,79.4,Checkups
Chesterfield,51041100902,3978,Annual Checkup,81.1,Checkups
Fairfax,51059421300,3658,Annual Checkup,78.0,Checkups
Arlington,51013102802,1317,Annual Checkup,78.4,Checkups
Fairfax,51059421002,5348,Annual Checkup,75.8,Checkups
Clarke,51043010102,4170,Annual Checkup,80.6,Checkups
Buckingham,51029930201,5526,Annual Checkup,78.0,Checkups
Chesterfield,51041100915,4171,Annual Checkup,79.5,Checkups
Bedford,51019030602,3610,Annual Checkup,79.4,Checkups
Campbell,51031020102,4635,Annual Checkup,79.9,Checkups
Cumberland,51049930101,3283,Annual Checkup,80.3,Checkups
Arlington,51013102702,1912,Annual Checkup,74.4,Checkups
Arlington,51013102100,2325,Annual Checkup,81.6,Checkups
Clarke,51043010200,3118,Annual Checkup,81.0,Checkups
Botetourt,51023040200,4219,Annual Checkup,80.0,Checkups
Albemarle,51003010402,3605,Annual Checkup,83.6,Checkups
Chesterfield,51041100704,5116,Annual Checkup,79.5,Checkups
Augusta,51015071202,4170,Annual Checkup,81.6,Checkups
Arlington,51013102400,3617,Annual Checkup,74.9,Checkups
Fairfax,51059420503,3505,Annual Checkup,74.7,Checkups
Fairfax,51059421103,5913,Annual Checkup,78.8,Checkups
Fairfax,51059415401,5352,Annual Checkup,74.9,Checkups
Carroll,51035080603,2511,Annual Checkup,80.3,Checkups
Fairfax,51059416300,2025,Annual Checkup,79.7,Checkups
Amherst,51009010401,3356,Annual Checkup,78.6,Checkups
Chesterfield,51041100937,4252,Annual Checkup,80.1,Checkups
Chesterfield,51041100814,3935,Annual Checkup,77.3,Checkups
Bedford,51019030503,2439,Annual Checkup,85.5,Checkups
Accomack,51001090102,1545,Annual Checkup,83.0,Checkups
Arlington,51013103700,2626,Annual Checkup,80.4,Checkups
Arlington,51013101602,1654,Annual Checkup,74.4,Checkups
Culpeper,51047930400,5143,Annual Checkup,78.4,Checkups
Charles City,51036600200,2180,Annual Checkup,82.8,Checkups
Arlington,51013101704,1990,Annual Checkup,73.3,Checkups
Caroline,51033030502,6450,Annual Checkup,78.3,Checkups
Chesterfield,51041101014,2703,Annual Checkup,80.0,Checkups
Campbell,51031020200,5655,Annual Checkup,79.3,Checkups
Bedford,51019030604,2595,Annual Checkup,78.2,Checkups
Augusta,51015070100,3973,Annual Checkup,77.2,Checkups
Amherst,51009010600,2687,Annual Checkup,79.9,Checkups
Arlington,51013103405,3874,Annual Checkup,75.6,Checkups
Accomack,51001090201,3990,Annual Checkup,82.9,Checkups
Albemarle,51003011000,6612,Annual Checkup,82.8,Checkups
Arlington,51013101401,1938,Annual Checkup,71.0,Checkups
