CountyName,Healthcare_Desert_Score,Score_EqualWeights,Total_Population,Tract_Count,Insurance_Gap,Low_Checkups,Food_Insecurity,Housing_Insecure,Loneliness,Transport_Barriers,Utility_Threat,Risk_Tier,Rank,Is_HPSA,Trial_Flagged
Hopewell,22.2,23.65,23033,6,13.6,19.97,30.42,22.77,38.3,15.68,16.98,CRITICAL,1,True,True
Petersburg,22.2,24.24,33458,11,12.56,17.48,31.89,24.33,39.6,16.61,18.47,CRITICAL,2,True,True
Emporia,21.08,22.4,5766,2,13.2,17.7,29.0,22.1,38.75,14.6,15.5,HIGH,3,True,True
Martinsville,20.86,22.43,13485,5,12.58,18.1,29.16,21.3,35.9,15.04,16.52,HIGH,4,True,True
Danville,20.8,22.22,42585,15,12.85,18.06,28.67,20.93,37.05,14.79,15.75,HIGH,5,True,True
Manassas Park,20.67,19.38,17219,3,17.87,25.47,21.17,17.6,37.23,10.63,9.83,HIGH,6,True,True
Portsmouth,19.9,20.96,97915,31,11.13,20.38,25.1,19.78,38.72,13.52,14.52,HIGH,7,True,True
Greensville,19.68,20.19,11391,3,12.5,20.7,24.33,19.27,36.67,12.63,13.33,HIGH,8,True,True
Brunswick,19.65,20.55,15849,6,12.32,18.95,25.27,19.52,36.82,12.97,13.92,HIGH,9,True,True
Sussex,18.91,19.35,10829,5,11.82,20.34,22.7,18.34,36.84,11.82,12.52,MODERATE,10,True,True
Harrisonburg,18.88,18.3,51814,11,12.95,25.46,19.25,14.07,37.81,11.61,9.09,MODERATE,11,True,True
Richmond,18.62,19.11,235533,77,10.52,22.13,20.81,16.97,38.67,11.82,12.0,MODERATE,12,True,True
Norfolk,18.5,19.14,237998,77,10.68,20.53,21.32,17.06,38.58,12.28,12.43,MODERATE,13,True,True
Winchester,18.38,18.07,28120,6,13.4,22.42,19.8,15.1,35.12,10.77,10.15,MODERATE,14,True,True
Lee,18.24,18.57,22173,7,12.29,20.93,21.56,14.87,33.57,11.37,11.17,MODERATE,15,True,True
Newport News,18.19,18.67,186247,47,10.61,20.65,20.97,17.01,37.46,11.45,11.95,MODERATE,16,True,True
Radford,18.16,18.39,16070,4,9.5,24.48,19.48,13.88,38.83,12.52,10.12,MODERATE,17,True,True
Prince Edward,18.1,18.67,21849,6,10.3,20.38,21.37,16.33,37.43,12.13,11.45,MODERATE,18,True,True
Manassas,17.96,16.61,42772,7,15.03,24.41,16.3,14.06,35.43,8.53,7.79,MODERATE,19,True,True
Halifax,17.88,18.53,34022,11,11.05,18.85,22.13,15.8,35.37,11.41,11.52,MODERATE,20,True,True
Galax,17.72,17.66,6720,2,13.0,20.25,20.0,14.15,34.1,10.6,10.0,MODERATE,21,True,True
Lunenburg,17.65,18.01,11936,3,11.7,18.9,21.33,15.83,33.9,11.0,11.03,MODERATE,22,True,True
Charlotte,17.48,18.07,11529,4,11.1,18.42,21.48,15.42,34.1,11.28,11.2,MODERATE,23,True,True
Buchanan,17.47,17.7,20355,7,11.61,20.3,20.66,13.36,34.17,10.47,9.94,MODERATE,24,True,True
Covington,17.38,17.66,5737,2,10.85,20.5,19.85,14.35,35.4,10.5,10.25,MODERATE,25,True,True
Buckingham,17.31,17.6,16824,4,10.72,19.62,19.88,15.38,36.1,10.32,10.48,MODERATE,26,True,True
Hampton,17.17,17.79,137148,36,9.49,18.83,20.14,16.4,36.62,11.16,11.45,MODERATE,27,True,True
Accomack,17.11,17.35,33412,11,11.85,18.32,19.9,14.92,34.11,10.33,10.25,MODERATE,28,True,True
Lynchburg,17.09,17.34,79009,23,9.34,21.8,18.06,14.07,38.21,10.53,10.0,MODERATE,29,True,True
Nottoway,17.01,17.39,15634,4,10.78,18.8,19.77,15.25,34.35,10.52,10.75,MODERATE,30,True,True
Wise,16.95,16.95,36130,11,10.75,21.34,18.18,12.75,36.25,9.75,9.09,MODERATE,31,True,True
Henry,16.94,17.22,50948,14,11.26,18.54,20.01,14.44,34.02,10.32,10.19,MODERATE,32,True,True
Norton,16.84,17.08,3687,1,10.0,21.4,18.5,13.4,34.2,10.2,9.9,MODERATE,33,True,True
Bristol,16.75,16.97,17219,5,10.42,20.66,18.76,13.26,33.44,10.12,9.88,MODERATE,34,True,True
Prince George,16.71,16.51,43010,7,10.1,22.37,16.71,14.07,35.73,9.51,9.39,MODERATE,35,True,True
Dickenson,16.54,16.53,14124,4,10.78,20.8,17.85,12.32,34.33,9.48,8.82,MODERATE,36,True,True
Caroline,16.41,16.4,30887,9,10.13,20.5,17.32,13.7,35.52,9.28,9.19,MODERATE,37,True,True
Essex,16.4,16.91,10599,3,9.9,17.57,19.53,14.8,34.53,10.17,10.4,MODERATE,38,True,True
Grayson,16.25,16.28,15333,5,10.8,19.68,17.9,12.32,33.94,9.4,8.82,MODERATE,39,True,True
Westmoreland,16.16,16.41,18477,6,10.77,17.58,18.93,13.7,33.23,9.82,9.5,MODERATE,40,True,True
Charles City,16.07,16.61,6773,3,9.27,17.03,19.27,14.77,35.17,10.0,10.13,MODERATE,41,True,True
